transaction_id,client_id,timestamp,amount,country,merchant_category,is_fraud,fraud_pattern
06d12cdb-8b94-473b-b7fd-db8a60b5c4e7,CUST0068,2026-08-13T04:12:37.966441,283.68,MA,fuel,1,odd_hour
42474783-6ed2-4e81-af93-fe0f235ee1da,CUST0146,2026-08-13T04:50:47.654642,240.15,NG,grocery,1,odd_hour
8097f9ed-a658-4dc3-a778-4b34f8e3eb65,CUST0078,2026-08-13T06:16:54.225408,253.74,US,clothing,0,
d8da4344-4316-467e-9ffc-8e8c1d14d909,CUST0118,2026-08-13T06:23:37.161447,143.91,ES,grocery,0,
1b2e3fff-5464-499c-bc5a-f7e34f295e0a,CUST0009,2026-08-13T06:53:11.552464,230.93,MA,travel,0,
6a3ad52f-d402-443d-a6cb-dd38a8d1937a,CUST0002,2026-08-13T07:00:12.333933,94.71,RU,online_gaming,0,
00c77c1a-f45d-4902-9cbc-afbebd2522cb,CUST0036,2026-08-13T07:00:46.231517,331.35,NG,cash_withdrawal,0,
280d48ad-b99f-4028-bae3-d65fbcd0fce5,CUST0074,2026-08-13T07:04:39.296246,171.16,MA,electronics,0,
5648b940-3953-4f29-a5c6-2d3ce0a75e67,CUST0073,2026-08-13T07:08:02.226136,162.97,FR,restaurant,0,
c25cfdff-8ca5-4fb0-9977-c9d2b813b21b,CUST0096,2026-08-13T07:13:12.616017,199.37,DE,electronics,0,
bc9ead1f-01fd-4224-9967-d5c707570b9e,CUST0022,2026-08-13T07:21:04.292797,217.91,FR,fuel,0,
261538ba-1fb6-4f09-a04c-937f122b6475,CUST0016,2026-08-13T07:23:02.350672,315.38,US,clothing,0,
0cfc4f83-2eef-4ec0-9761-8c63b922da49,CUST0172,2026-08-13T07:39:23.918253,243.51,US,restaurant,0,
8d3ea7f3-ec19-43f7-bf07-ddb1d901b9b3,CUST0154,2026-08-13T07:46:40.856966,192.37,NG,grocery,0,
522ae748-fa19-470e-8f4d-5b15b0006e28,CUST0066,2026-08-13T07:58:46.865279,96.51,ES,online_gaming,0,
62dbf4f6-9ff1-4612-8ede-442edb3ed5e7,CUST0110,2026-08-13T08:06:12.463316,185.27,DE,online_gaming,0,
8dd61788-e2f1-487e-b91a-04403f5f1e44,CUST0180,2026-08-13T08:06:57.780704,302.88,NG,travel,0,
1fad794f-c213-4f9e-9a40-e9aeb6ee0068,CUST0088,2026-08-13T08:15:24.742076,40.33,US,cash_withdrawal,0,
8dc5cfbb-ebd9-4718-b222-8892fe4f6510,CUST0087,2026-08-13T08:16:02.949449,237.35,NG,jewelry,0,
6572fdb6-b46d-413d-a218-c45f4a6f4612,CUST0029,2026-08-13T08:21:39.121306,306.53,DE,grocery,0,
326aa8b3-0bec-4367-a93f-c7b58ff140aa,CUST0090,2026-08-13T08:22:09.925061,69.53,DE,jewelry,0,
94e5f4d5-1c14-4595-bc74-b25a05969457,CUST0029,2026-08-13T08:25:58.646214,293.12,DE,electronics,0,
f4a924a6-e1c0-4070-92a5-5bb5ed407080,CUST0000,2026-08-13T08:27:29.240758,20.62,FR,cash_withdrawal,0,
77006778-e42e-4e4f-ae61-04616be5e5de,CUST0121,2026-08-13T08:35:56.299192,195.99,MA,online_gaming,0,
c1bc17d7-8417-4f04-adb1-5352acb42ca1,CUST0111,2026-08-13T08:36:42.324348,161.38,FR,fuel,0,
56df8f73-2a80-4fd1-9fd9-a05700659281,CUST0179,2026-08-13T08:40:04.645800,127.63,DE,online_gaming,0,
97373e80-b0fe-459c-8c06-01a2e0402cda,CUST0049,2026-08-13T08:44:08.176041,169.56,MA,jewelry,0,
3c0c35b0-dbe4-4797-a2e8-c485305cf13a,CUST0017,2026-08-13T08:50:07.332758,206.04,MA,grocery,0,
b272e518-ae0d-4d51-a48a-20321520e211,CUST0197,2026-08-13T08:50:32.446386,267.43,MA,cash_withdrawal,0,
c9f91f84-ee57-4f7d-88c0-00f6e35f897f,CUST0147,2026-08-13T08:51:14.958477,162.29,ES,clothing,0,
74ce71ff-e7c8-4790-83a6-e7e5a02d7fcc,CUST0041,2026-08-13T08:52:52.973204,44.99,MA,clothing,0,
99ab78b9-e329-4f76-8b2d-7fc61944e6d4,CUST0057,2026-08-13T09:01:45.099862,166.01,CN,restaurant,0,
99fc09fe-9ba7-41e2-afc1-39436f89867f,CUST0170,2026-08-13T09:09:57.461787,67.75,RU,clothing,0,
92fcec02-9601-4ed1-93fd-1d3d459d7732,CUST0126,2026-08-13T09:11:44.562867,200.99,CN,fuel,0,
86b31d83-bc99-4b45-8964-cd239d33f7fc,CUST0125,2026-08-13T09:12:00.431088,153.96,US,cash_withdrawal,0,
9cd42b16-0245-4743-b5fa-304ea9803790,CUST0038,2026-08-13T09:12:40.088929,115.33,ES,clothing,0,
90c4a222-5d9e-4aed-8dfa-315d2e7861b6,CUST0151,2026-08-13T09:20:28.500000,148.25,NG,grocery,0,
f305aa0d-d444-4282-8b51-ff0592c41765,CUST0006,2026-08-13T09:26:09.967002,342.16,DE,travel,0,
bd203829-7db4-496f-86d2-225aec481752,CUST0052,2026-08-13T09:29:45.094944,128.81,FR,grocery,0,
71c99cdd-32e8-4ed2-aa07-92d0bc38b214,CUST0039,2026-08-13T09:31:35.881147,279.04,US,cash_withdrawal,0,
15b9b74c-23f2-433a-b0ca-9e4b5356ac1e,CUST0046,2026-08-13T09:37:09.581427,314.89,ES,electronics,0,
b10e7322-17ee-437d-8c85-7987a55c9e24,CUST0042,2026-08-13T09:38:37.992716,217.89,ES,grocery,0,
51512962-d54d-4e40-89cf-2a292614c0c2,CUST0167,2026-08-13T09:53:55.497689,95.32,US,restaurant,0,
415ec1e8-ff10-46e0-a716-6aba7c86ff9f,CUST0065,2026-08-13T09:55:30.618565,230.93,FR,jewelry,0,
af89c556-81fb-4653-8943-efba0dd7081e,CUST0129,2026-08-13T10:05:50.311002,258.99,MA,travel,0,
4f94c91b-94a1-49bb-8b2e-9f0d2aa2992d,CUST0140,2026-08-13T10:08:01.614789,297.89,FR,jewelry,0,
95aba909-bc69-4eb9-bdaf-77603c8324cd,CUST0069,2026-08-13T10:15:29.540854,82.1,DE,online_gaming,0,
8f639652-e236-4bcb-a294-749847162d51,CUST0120,2026-08-13T10:16:51.715338,196.02,RU,clothing,0,
98a97182-cb50-4e19-9cbf-869a03dd9c7b,CUST0163,2026-08-13T10:23:46.986784,222.44,ES,online_gaming,0,
744478bc-f185-44e2-bd4c-471f54831575,CUST0045,2026-08-13T10:24:21.896363,225.9,DE,travel,0,
7739b2ed-0a8d-4d54-ae65-4e4b47ab6f69,CUST0135,2026-08-13T10:25:38.417180,4.84,RU,jewelry,0,
8ec88d25-66a9-423d-8c61-a60fa316dc0c,CUST0008,2026-08-13T10:29:31.141992,93.2,DE,restaurant,0,
2493cdbe-219f-42e3-884c-b439974f45a3,CUST0190,2026-08-13T10:33:38.321677,102.33,DE,jewelry,0,
1c039d3d-3351-4750-9ca8-1df00c56fab8,CUST0168,2026-08-13T10:33:51.359603,158.28,RU,travel,0,
